Instance,Source,Pareto Count,Served,Makespan,Avg Execution Time
6.5.1,BEST (from results20),2,6,753.5815,31.3763
6.5.2,BEST (from results20),4,5,546.882,35.8187
6.5.3,BEST (from results20),2,6,919.9824,33.2896
6.5.4,BEST (from results20),2,5,722.0002,32.4915
6.10.1,BEST (from results20),2,5,1058.9239,35.3066
6.10.2,BEST (from results20),1,5,1169.0393,35.8175
6.10.3,BEST (from results20),2,6,1385.8205,34.5038
6.10.4,BEST (from results20),4,5,1100.823,37.3742
6.20.1,BEST (from results20),1,5,4306.6813,37.2068
6.20.2,BEST (from results20),1,6,4202.1827,35.8605
6.20.3,BEST (from results20),1,5,6233.2145,35.0666
6.20.4,BEST (from results20),1,5,6174.7861,34.8349
10.5.1,BEST (from results20),2,9,1185.6894,41.7611
10.5.2,BEST (from results20),1,8,709.2037,47.8563
10.5.3,BEST (from results20),3,8,922.5506,46.5905
10.5.4,BEST (from results20),4,9,753.1453,44.0436
10.10.1,BEST (from results20),2,8,1901.1013,46.1242
10.10.2,BEST (from results20),2,10,2060.5354,42.3756
10.10.3,BEST (from results20),1,5,1508.8685,44.444
10.10.4,BEST (from results20),4,10,1418.9701,40.2319
10.20.1,BEST (from results20),1,6,5738.0668,39.4332
10.20.2,BEST (from results20),1,6,6203.1798,38.6409
10.20.3,BEST (from results20),1,5,6468.8684,39.0233
10.20.4,BEST (from results20),1,5,5015.2341,38.764
12.5.1,BEST (from results20),2,11,996.4854,48.9752
12.5.2,BEST (from results29),6,11,823.6148,60.6726
12.5.3,BEST (from results20),7,11,1128.751,52.0482
12.5.4,BEST (from results20),3,11,1085.9387,56.3877
12.10.1,BEST (from results20),1,10,1725.2414,49.4265
12.10.2,BEST (from results20),5,12,1731.7758,50.751
12.10.3,BEST (from results20),4,11,1901.2105,48.343
12.10.4,BEST (from results20),2,9,1798.519,52.2014
12.20.1,BEST (from results20),1,8,6705.1533,50.9126
12.20.2,BEST (from results20),1,6,6365.2014,46.228
12.20.3,BEST (from results20),2,9,6006.4111,48.4221
12.20.4,BEST (from results20),2,10,7555.7183,45.6136
20.5.1,BEST (from results25),8,18,751.8918,104.1788
20.5.2,BEST (from results24),8,19,866.1723,100.3964
20.5.3,BEST (from results25),4,19,564.6323,99.8427
20.5.4,BEST (from results25),7,20,644.0757,98.6055
20.10.1,BEST (from results20),8,18,1458.7736,100.8906
20.10.2,BEST (from results20),4,16,1389.1459,83.5277
20.10.3,BEST (from results20),10,15,1327.0895,115.8563
20.10.4,BEST (from results24),8,20,1398.6672,86.4605
20.20.1,BEST (from results20),2,14,4420.6347,74.2097
20.20.2,BEST (from results20),2,18,4213.7226,82.6238
20.20.3,BEST (from results20),2,11,5491.3251,74.0835
20.20.4,BEST (from results20),2,12,2440.0265,86.4051
50.10.1,BEST (from results24),11,43,2031.7726,295.152
50.10.2,BEST (from results23),5,45,1686.5148,346.4246
50.10.3,BEST (from results21),10,49,1815.7032,282.5603
50.10.4,BEST (from results28),13,48,1695.3279,385.0499
50.20.1,BEST (from results21),10,39,4171.1786,286.4681
50.20.2,BEST (from results20),5,29,4111.6578,295.7605
50.20.3,BEST (from results20),38,30,4865.9731,297.4294
50.20.4,BEST (from results20),11,19,4941.4782,241.8152
50.30.1,BEST (from results20),4,19,9010.177,218.8475
50.30.2,BEST (from results20),2,21,7987.9054,207.5759
50.30.3,BEST (from results20),5,21,8783.3467,206.6801
50.30.4,BEST (from results20),14,16,8208.8034,251.7298
50.40.1,BEST (from results20),1,24,14160.1392,225.7832
50.40.2,BEST (from results20),13,29,14590.2524,188.239
50.40.3,BEST (from results20),2,20,13166.9166,192.806
50.40.4,BEST (from results20),1,19,13180.8472,212.0234
100.10.1,BEST (from results23),21,86,1793.2276,2097.7815
100.10.2,BEST (from results25),12,90,1847.655,2597.1353
100.10.3,BEST (from results26),13,91,2010.2426,2109.4815
100.10.4,BEST (from results20),13,88,1857.1868,2401.2984
100.20.1,BEST (from results20),19,34,4451.3342,1508.6685
100.20.2,BEST (from results20),72,62,4111.5737,1912.0375
100.20.3,BEST (from results20),6,56,5290.6081,1506.2223
100.20.4,BEST (from results20),15,60,4568.0367,2298.4555
100.30.1,BEST (from results20),24,49,8929.2884,1568.3123
100.30.2,BEST (from results20),10,56,8826.6966,1886.5068
100.30.3,BEST (from results23),8,44,9131.3549,1490.6471
100.30.4,BEST (from results20),9,39,9284.0704,877.2802
100.40.1,BEST (from results20),9,40,14931.751,1878.3786
100.40.2,BEST (from results20),7,39,15249.1897,1405.7403
100.40.3,BEST (from results20),6,59,15323.1139,864.3476
100.40.4,BEST (from results20),8,41,14706.4801,1510.2987
