Instance,Source,Pareto Count,Served,Makespan,Avg Execution Time
6.5.1,BEST (from results20),300,6,753.5815,32.5573
6.5.2,BEST (from results20),300,5,546.882,36.3428
6.5.3,BEST (from results20),300,6,919.9824,33.9131
6.5.4,BEST (from results20),300,5,722.0002,32.5594
6.10.1,BEST (from results20),300,5,1058.9239,34.2912
6.10.2,BEST (from results20),300,5,1169.0393,33.8511
6.10.3,BEST (from results20),300,6,1385.8205,33.5748
6.10.4,BEST (from results20),300,5,1100.823,35.7795
6.20.1,BEST (from results20),300,5,4306.6813,34.421
6.20.2,BEST (from results20),300,6,4202.1827,33.8913
6.20.3,BEST (from results20),300,5,6233.2145,33.5186
6.20.4,BEST (from results20),300,5,6174.7861,33.1827
10.5.1,BEST (from results20),300,9,1185.6894,40.5141
10.5.2,BEST (from results20),300,8,709.2037,47.9523
10.5.3,BEST (from results20),300,8,922.5506,48.233
10.5.4,BEST (from results20),300,9,753.1453,44.657
10.10.1,BEST (from results20),300,8,1901.1013,44.4534
10.10.2,BEST (from results20),300,10,2060.5354,43.502
10.10.3,BEST (from results20),300,5,1508.8685,46.5121
10.10.4,BEST (from results20),300,10,1418.9701,41.6701
10.20.1,BEST (from results20),300,6,5738.0668,41.1206
10.20.2,BEST (from results20),300,6,6203.1798,40.3443
10.20.3,BEST (from results20),300,5,6468.8684,40.1536
10.20.4,BEST (from results20),300,5,5015.2341,39.8899
12.5.1,BEST (from results20),300,11,996.4854,47.4126
12.5.2,BEST (from results20),300,10,734.1062,58.5374
12.5.3,BEST (from results20),300,11,1128.751,50.7281
12.5.4,BEST (from results20),300,11,1085.9387,54.8474
12.10.1,BEST (from results20),300,10,1725.2414,50.895
12.10.2,BEST (from results20),300,12,1731.7758,51.0471
12.10.3,BEST (from results20),300,11,1901.2105,48.8902
12.10.4,BEST (from results20),300,9,1798.519,53.6889
12.20.1,BEST (from results20),300,8,6705.1533,51.7556
12.20.2,BEST (from results20),300,6,6365.2014,48.3003
12.20.3,BEST (from results20),300,9,6006.4111,50.3304
12.20.4,BEST (from results20),300,10,7555.7183,47.1786
20.5.1,BEST (from results25),300,18,751.8918,106.3463
20.5.2,BEST (from results24),300,19,866.1723,102.6209
20.5.3,BEST (from results25),300,19,564.6323,102.7736
20.5.4,BEST (from results25),300,20,644.0757,97.5646
20.10.1,BEST (from results20),300,18,1458.7736,104.9058
20.10.2,BEST (from results20),300,16,1389.1459,87.1342
20.10.3,BEST (from results20),300,15,1327.0895,123.7536
20.10.4,BEST (from results24),300,20,1398.6672,89.6713
20.20.1,BEST (from results20),300,14,4420.6347,77.8857
20.20.2,BEST (from results20),300,18,4213.7226,85.4098
20.20.3,BEST (from results20),300,11,5491.3251,80.0011
20.20.4,BEST (from results20),300,12,2440.0265,91.5974
50.10.1,BEST (from results24),300,43,2031.7726,346.3279
50.10.2,BEST (from results23),300,45,1686.5148,369.6187
50.10.3,BEST (from results21),300,49,1815.7032,303.3751
50.10.4,BEST (from results23),300,43,1582.4124,442.9956
50.20.1,BEST (from results21),300,39,4171.1786,349.0897
50.20.2,BEST (from results20),300,29,4111.6578,363.9069
50.20.3,BEST (from results20),300,30,4865.9731,365.8542
50.20.4,BEST (from results20),300,19,4941.4782,305.7834
50.30.1,BEST (from results20),300,19,9010.177,271.5958
50.30.2,BEST (from results20),300,21,7987.9054,249.1431
50.30.3,BEST (from results20),300,21,8783.3467,250.3507
50.30.4,BEST (from results20),300,16,8208.8034,316.9976
50.40.1,BEST (from results20),300,24,14160.1392,264.7912
50.40.2,BEST (from results20),300,29,14590.2524,210.3919
50.40.3,BEST (from results20),300,20,13166.9166,226.2956
50.40.4,BEST (from results20),300,19,13180.8472,254.6629
100.10.1,BEST (from results23),300,86,1793.2276,2282.3627
100.10.2,BEST (from results24),300,85,1797.2504,2879.1029
100.10.3,BEST (from results23),300,86,1984.3124,2469.2983
100.10.4,BEST (from results20),300,88,1857.1868,3003.3571
100.20.1,BEST (from results20),300,34,4451.3342,2754.4554
100.20.2,BEST (from results20),300,62,4111.5737,2781.6545
100.20.3,BEST (from results20),300,56,5290.6081,2777.278
100.20.4,BEST (from results20),300,60,4568.0367,3111.9699
100.30.1,BEST (from results20),300,49,8929.2884,2408.5703
100.30.2,BEST (from results20),300,56,8826.6966,2865.8077
100.30.3,BEST (from results24),300,44,9179.2066,2163.1658
100.30.4,BEST (from results20),300,39,9284.0704,1178.6686
100.40.1,BEST (from results20),300,40,14931.751,2556.8068
100.40.2,BEST (from results20),300,39,15249.1897,1903.4849
100.40.3,BEST (from results20),300,59,15323.1139,989.9864
100.40.4,BEST (from results20),300,41,14706.4801,2187.9386
